country	continent	year	lifeExp	pop	gdpPercap
United_Kingdom	Europe	1967	71.36	54959000	14142.85089
United_Kingdom	Europe	1997	77.218	58808266	26074.53136
United_Kingdom	Europe	1977	72.76	56179000	17428.74846
United_Kingdom	Europe	1987	75.007	56981620	21664.78767
United_Kingdom	Europe	1982	74.04	56339704	18232.42452
United_Kingdom	Europe	1957	70.42	51430000	11283.17795
United_Kingdom	Europe	1972	72.01	56079000	15895.11641
United_Kingdom	Europe	2007	79.425	60776238	33203.26128
United_Kingdom	Europe	2002	78.471	59912431	29478.99919
United_Kingdom	Europe	1962	70.76	53292000	12477.17707
United_Kingdom	Europe	1992	76.42	57866349	22705.09254
United_Kingdom	Europe	1952	69.18	50430000	9979.508487
